F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,Adulteration %,Type_of_Oil
72,207,170,9,222,5326,24,51,121,135,223,5325,7,49,0,sunflower
72,207,169,9,222,5323,24,51,121,134,222,5323,7,49,0,sunflower
72,208,170,9,222,5320,24,51,121,134,222,5316,8,49,0,sunflower
72,208,170,9,223,5334,24,51,122,135,223,5326,7,49,0,sunflower
71,208,170,9,222,5333,24,51,121,135,222,5331,7,49,0,sunflower
71,208,170,9,222,5338,23,51,121,135,221,5334,7,49,0,sunflower
72,208,171,9,222,5338,24,52,122,135,223,5346,7,47,0,sunflower
72,208,170,9,223,5343,24,52,121,135,223,5332,7,49,0,sunflower
72,208,170,9,222,5343,24,51,121,135,223,5339,7,49,0,sunflower
72,208,170,9,223,5337,24,52,121,135,223,5333,7,49,0,sunflower
71,208,170,9,224,5348,23,50,121,135,223,5337,7,49,0,sunflower
72,209,171,9,223,5346,23,51,122,135,223,5340,7,49,0,sunflower
71,207,170,9,223,5346,23,51,121,134,223,5343,7,49,0,sunflower
72,209,170,9,223,5346,24,52,122,135,223,5346,7,49,0,sunflower
72,209,171,9,223,5348,24,52,120,135,223,5348,7,49,0,sunflower
72,208,170,9,223,5348,23,51,122,135,224,5347,7,49,0,sunflower
72,209,171,9,223,5347,24,52,122,135,224,5344,7,49,0,sunflower
72,208,170,9,222,5343,24,51,121,135,223,5339,7,49,0,sunflower
72,208,170,8,222,5340,24,51,122,135,223,5338,7,49,0,sunflower
71,209,170,9,223,5347,24,52,122,135,223,5343,7,49,0,sunflower
71,209,170,9,222,5337,24,51,122,135,223,5345,7,48,0,sunflower
71,208,171,9,223,5345,23,51,121,135,223,5345,7,49,0,sunflower
71,209,171,9,222,5352,24,52,122,136,224,5348,7,49,0,sunflower
71,209,170,8,223,5345,23,51,121,135,223,5341,7,49,0,sunflower
71,209,171,9,223,5349,23,52,122,135,224,5351,7,49,0,sunflower
70,208,171,9,223,5357,24,51,122,134,223,5352,7,49,0,sunflower
72,209,171,9,223,5349,24,51,122,135,223,5350,7,49,0,sunflower
71,209,171,8,223,5353,24,51,122,135,224,5350,7,49,0,sunflower
71,209,171,9,224,5355,23,51,121,135,223,5353,8,49,0,sunflower
71,209,171,9,223,5345,24,52,122,135,224,5344,7,49,0,sunflower
41,153,127,8,161,3813,15,34,89,102,160,3808,6,39,20,sunflower
42,153,128,8,161,3810,14,34,88,103,160,3809,6,39,20,sunflower
41,153,127,7,160,3808,14,34,88,103,160,3806,6,39,20,sunflower
41,153,127,7,160,3807,15,34,89,103,160,3801,6,39,20,sunflower
41,153,126,7,160,3805,15,34,89,103,161,3808,6,39,20,sunflower
41,153,127,8,160,3804,15,34,88,103,159,3804,6,39,20,sunflower
41,153,127,8,160,3801,14,34,89,102,160,3799,6,39,20,sunflower
41,153,127,8,160,3804,15,34,89,103,160,3804,6,39,20,sunflower
41,154,127,7,160,3807,15,34,89,103,160,3806,6,39,20,sunflower
42,154,128,8,160,3808,14,34,89,102,161,3809,6,39,20,sunflower
40,154,127,8,161,3807,15,33,89,103,161,3805,6,39,20,sunflower
41,154,127,8,159,3807,15,34,89,103,161,3807,6,39,20,sunflower
41,154,127,8,160,3811,15,34,89,103,161,3810,6,39,20,sunflower
41,153,127,8,159,3806,15,34,89,103,159,3809,6,39,20,sunflower
41,153,127,8,160,3808,15,34,88,103,161,3808,6,39,20,sunflower
41,154,127,8,160,3811,14,34,89,103,160,3803,6,39,20,sunflower
42,154,125,8,161,3806,14,34,89,102,161,3808,6,39,20,sunflower
42,153,126,8,161,3806,15,34,89,103,161,3804,6,39,20,sunflower
41,153,127,8,160,3812,14,34,89,103,160,3804,6,39,20,sunflower
41,154,127,7,160,3810,14,34,89,103,160,3807,6,39,20,sunflower
41,154,127,8,160,3808,15,34,89,103,161,3810,6,39,20,sunflower
41,154,127,7,160,3807,14,34,87,102,160,3806,6,39,20,sunflower
41,154,127,8,160,3809,14,34,88,103,161,3811,6,39,20,sunflower
41,154,127,8,160,3812,15,34,89,103,160,3811,6,39,20,sunflower
41,153,127,7,160,3807,15,34,89,103,160,3806,6,39,20,sunflower
41,154,128,8,161,3814,14,34,89,102,161,3810,6,39,20,sunflower
41,153,127,7,160,3812,15,35,89,103,161,3810,6,39,20,sunflower
42,154,127,8,161,3809,14,34,89,102,161,3807,6,39,20,sunflower
41,153,127,8,160,3805,14,34,89,103,160,3806,6,39,20,sunflower
41,153,127,8,160,3811,15,34,89,103,161,3808,6,39,20,sunflower
47,162,134,8,172,4042,16,38,93,108,171,4042,6,42,40,sunflower
47,160,134,8,172,4042,15,38,91,107,171,4038,7,42,40,sunflower
47,161,134,8,171,4044,16,38,93,108,172,4039,6,42,40,sunflower
47,162,134,8,172,4047,15,38,93,107,172,4043,6,42,40,sunflower
47,162,134,8,172,4058,16,38,93,108,172,4054,6,42,40,sunflower
47,162,135,8,172,4059,16,39,94,108,172,4064,6,42,40,sunflower
47,162,135,8,173,4059,16,39,93,108,172,4055,6,42,40,sunflower
47,162,135,8,172,4061,16,39,93,108,172,4059,6,42,40,sunflower
47,162,135,8,172,4056,16,38,93,108,172,4057,6,42,40,sunflower
47,161,135,8,173,4069,16,39,94,108,173,4065,6,42,40,sunflower
47,162,135,8,172,4070,16,39,94,109,173,4061,6,42,40,sunflower
47,162,135,8,172,4072,16,39,93,109,173,4073,7,42,40,sunflower
47,163,135,8,172,4068,16,39,94,108,173,4069,6,42,40,sunflower
47,162,135,8,173,4067,16,39,94,108,173,4061,6,42,40,sunflower
47,163,135,8,173,4072,16,39,94,108,174,4066,6,42,40,sunflower
47,162,135,8,173,4076,16,38,94,108,173,4070,6,42,40,sunflower
47,161,135,8,173,4064,16,39,94,108,173,4065,6,42,40,sunflower
46,162,134,8,172,4061,15,38,93,108,172,4062,6,41,40,sunflower
46,162,135,8,172,4062,16,39,94,109,172,4060,7,42,40,sunflower
47,163,135,8,173,4071,16,39,93,109,173,4064,6,42,40,sunflower
47,163,135,8,173,4072,15,38,93,108,172,4065,6,42,40,sunflower
47,163,135,8,173,4069,16,39,94,108,173,4067,6,43,40,sunflower
47,163,134,8,173,4071,16,39,94,109,173,4064,6,42,40,sunflower
47,162,135,8,173,4070,16,39,94,109,173,4081,6,43,40,sunflower
47,163,135,8,173,4075,16,39,93,108,173,4073,7,43,40,sunflower
47,163,135,8,172,4076,15,38,94,108,173,4075,6,42,40,sunflower
47,163,135,8,173,4076,16,39,94,109,173,4079,6,42,40,sunflower
47,163,135,8,173,4078,16,39,93,109,173,4072,6,43,40,sunflower
48,164,136,8,174,4075,16,39,94,108,173,4075,6,42,40,sunflower
39,113,94,7,121,2771,13,32,66,76,121,2772,6,31,60,sunflower
38,114,94,7,122,2782,13,32,67,76,122,2784,5,31,60,sunflower
39,113,94,6,122,2795,13,32,67,76,123,2801,6,31,60,sunflower
39,114,95,7,122,2799,14,33,67,77,123,2794,6,31,60,sunflower
38,113,94,7,123,2789,13,33,67,77,122,2788,6,31,60,sunflower
39,114,94,6,122,2784,13,32,67,76,122,2784,6,31,60,sunflower
39,114,94,7,123,2802,14,33,67,77,123,2797,6,32,60,sunflower
38,114,94,7,123,2795,13,32,67,77,123,2794,6,31,60,sunflower
39,114,95,7,122,2800,13,33,67,76,123,2799,5,31,60,sunflower
39,115,95,7,122,2802,13,32,67,76,123,2807,6,31,60,sunflower
39,114,95,7,122,2805,13,33,67,76,123,2804,6,31,60,sunflower
39,114,95,6,123,2807,13,33,68,77,123,2803,6,31,60,sunflower
39,115,95,7,123,2807,13,32,67,76,123,2798,5,31,60,sunflower
39,113,95,7,123,2807,13,33,67,77,123,2804,6,31,60,sunflower
39,114,94,7,123,2806,13,33,68,77,123,2806,5,31,60,sunflower
39,114,95,6,123,2804,13,33,68,77,123,2807,5,31,60,sunflower
39,114,95,7,123,2805,13,33,67,77,123,2806,6,32,60,sunflower
39,114,95,7,123,2805,13,32,67,76,123,2803,6,31,60,sunflower
39,114,95,6,123,2802,13,33,67,77,123,2806,5,31,60,sunflower
