F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,Adulteration %,Type_of_Oil
349,1563,1496,212,1716,18000,104,341,785,1213,1712,18000,37,606,20, sesame
349,1561,1493,209,1714,18000,104,341,785,1212,1713,18000,37,603,20, sesame
350,1559,1493,216,1714,18000,104,342,784,1212,1715,17999,36,604,20, sesame
350,1561,1493,209,1713,18000,104,341,785,1215,1716,18000,36,605,20, sesame
349,1561,1493,209,1712,18000,105,341,784,1212,1713,18000,37,604,20, sesame
349,1561,1493,210,1713,18000,105,341,783,1208,1711,17999,37,606,20, sesame
348,1557,1490,202,1707,18000,104,341,783,1214,1711,18000,36,602,20, sesame
349,1560,1492,204,1710,17999,104,340,783,1209,1707,18000,36,603,20, sesame
349,1560,1492,202,1712,18000,104,340,784,1213,1714,18000,36,602,20, sesame
348,1555,1487,198,1706,18000,103,340,783,1208,1707,18000,36,601,20, sesame
348,1556,1490,199,1709,18000,104,341,782,1208,1705,18000,37,602,20, sesame
349,1557,1490,198,1707,18000,104,340,782,1211,1707,18000,36,600,20, sesame
348,1556,1489,196,1706,18000,104,342,783,1210,1709,17999,36,600,20, sesame
348,1555,1487,187,1699,17999,103,339,781,1207,1699,18000,36,595,20, sesame
348,1554,1486,186,1700,18000,103,339,780,1207,1705,17999,36,595,20, sesame
347,1553,1485,184,1694,18000,103,339,780,1204,1698,17999,36,595,20, sesame
347,1552,1484,188,1698,18000,103,339,781,1204,1698,17999,36,596,20, sesame
348,1550,1482,186,1694,18000,103,339,782,1206,1698,18000,36,593,20, sesame
345,1537,1470,175,1678,17999,102,336,775,1192,1677,18000,35,583,20, sesame
340,1523,1456,129,1648,18000,100,330,766,1179,1650,18000,34,564,20, sesame
341,1521,1455,135,1649,17999,99,330,763,1176,1646,18000,33,565,20, sesame
341,1520,1457,126,1647,18000,99,331,766,1179,1654,18000,33,565,20, sesame
341,1521,1452,127,1645,18000,100,330,764,1178,1648,17999,34,563,20, sesame
340,1520,1453,128,1644,17999,100,330,763,1174,1643,18000,34,563,20, sesame
341,1520,1452,124,1643,18000,99,329,764,1177,1646,17999,33,561,20, sesame
339,1521,1454,123,1645,18000,99,329,763,1175,1643,18000,33,562,20, sesame
339,1521,1453,126,1642,18000,99,330,764,1177,1647,18000,33,562,20, sesame
342,1523,1453,132,1648,18000,99,330,764,1176,1648,18000,34,565,20, sesame
339,1518,1450,128,1642,18000,99,330,763,1174,1644,18000,34,562,20, sesame
340,1518,1450,127,1642,18000,99,328,763,1175,1645,18000,33,562,20, sesame
340,1517,1449,120,1640,18000,99,329,763,1175,1644,18000,33,561,20, sesame
340,1518,1452,121,1640,18000,99,329,763,1175,1643,17999,33,559,20, sesame
340,1519,1452,121,1639,18000,98,329,764,1174,1645,18000,33,560,20, sesame
340,1519,1451,119,1639,17999,99,329,762,1174,1640,18000,33,560,20, sesame
340,1519,1452,118,1641,17999,99,328,764,1175,1642,18000,34,560,20, sesame
340,1521,1454,121,1640,17999,99,329,762,1173,1641,18000,33,558,20, sesame
345,1533,1466,170,1672,18000,102,336,774,1190,1676,18000,35,582,20, sesame
345,1534,1467,165,1673,18000,102,334,772,1188,1673,18000,35,579,20, sesame
346,1536,1466,168,1673,17999,102,335,772,1185,1669,18000,35,580,20, sesame
343,1458,1387,44,1568,18000,95,337,744,1106,1564,17999,31,516,40, sesame
341,1458,1388,44,1568,17999,94,335,747,1113,1572,17999,30,516,40, sesame
341,1460,1391,44,1566,17999,94,335,747,1113,1570,18000,31,516,40, sesame
341,1464,1396,45,1571,18000,94,336,749,1114,1574,18000,30,519,40, sesame
342,1464,1397,44,1574,18000,94,334,745,1111,1570,18000,31,519,40, sesame
342,1463,1398,44,1573,18000,95,336,751,1115,1577,17999,31,520,40, sesame
341,1466,1396,44,1574,17999,94,334,750,1115,1578,17999,31,519,40, sesame
341,1464,1395,44,1573,18000,94,334,748,1114,1574,18000,31,518,40, sesame
342,1466,1399,45,1572,17999,95,336,750,1116,1575,17999,31,519,40, sesame
342,1463,1396,44,1569,17999,95,336,750,1116,1574,17999,31,519,40, sesame
341,1465,1397,45,1571,18000,94,335,749,1115,1571,17999,31,519,40, sesame
340,1465,1396,45,1570,17999,95,336,750,1115,1574,17999,30,519,40, sesame
342,1469,1399,45,1572,18000,94,335,749,1115,1572,17999,31,519,40, sesame
342,1465,1396,45,1574,18000,95,336,749,1117,1576,18000,31,519,40, sesame
341,1466,1398,45,1573,18000,94,334,748,1115,1574,18000,31,519,40, sesame
341,1466,1399,45,1570,18000,95,335,748,1113,1570,18000,31,519,40, sesame
342,1463,1396,44,1571,18000,95,336,749,1114,1573,18000,31,519,40, sesame
342,1463,1397,45,1572,18000,95,336,749,1113,1569,18000,31,519,40, sesame
342,1466,1396,45,1571,18000,94,335,749,1114,1573,18000,31,517,40, sesame
340,1464,1394,44,1572,18000,94,335,750,1115,1576,17999,31,519,40, sesame
341,1463,1394,45,1569,17999,94,334,747,1112,1571,17999,31,519,40, sesame
341,1464,1397,45,1569,18000,94,334,747,1109,1569,18000,31,519,40, sesame
342,1463,1396,44,1569,18000,95,335,747,1114,1569,17999,31,520,40, sesame
341,1462,1395,45,1569,18000,95,335,747,1113,1571,18000,30,519,40, sesame
341,1462,1394,45,1568,18000,94,334,749,1114,1570,17999,31,517,40, sesame
339,1463,1394,44,1570,17999,95,335,748,1116,1575,18000,31,518,40, sesame
341,1461,1391,45,1567,18000,94,334,747,1113,1567,18000,31,517,40, sesame
341,1458,1391,45,1565,18000,95,333,747,1112,1566,18000,30,517,40, sesame
340,1457,1391,45,1564,18000,94,333,746,1111,1567,18000,31,517,40, sesame
340,1459,1389,45,1564,18000,94,333,747,1111,1567,18000,31,518,40, sesame
339,1459,1390,45,1564,18000,94,334,745,1112,1566,17999,31,518,40, sesame
340,1460,1391,45,1566,18000,94,332,745,1108,1565,18000,30,517,40, sesame
339,1458,1390,44,1563,17999,94,334,746,1109,1564,17999,31,517,40, sesame
339,1458,1388,45,1563,18000,94,333,747,1111,1567,18000,30,517,40, sesame
340,1457,1390,44,1563,18000,94,333,746,1112,1566,17999,31,516,40, sesame
340,1456,1388,45,1562,18000,94,334,745,1112,1566,17999,31,516,40, sesame
339,1460,1391,44,1564,18000,94,333,745,1109,1564,18000,30,518,40, sesame
340,1459,1390,44,1565,18000,94,334,745,1109,1564,18000,31,517,40, sesame
340,1457,1390,44,1565,18000,94,333,745,1108,1565,17999,31,517,40, sesame
339,1459,1388,44,1563,18000,94,333,746,1110,1566,18000,31,516,40, sesame
378,1330,1247,41,1462,18000,102,360,707,993,1465,18000,29,474,60, sesame
402,1366,1280,42,1509,18000,108,374,728,1014,1511,18000,30,484,60, sesame
394,1381,1293,42,1515,18000,106,371,733,1026,1515,17999,30,488,60, sesame
384,1393,1307,43,1528,18000,104,368,738,1039,1528,18000,30,495,60, sesame
410,1416,1327,43,1548,18000,111,377,751,1050,1548,18000,31,499,60, sesame
402,1418,1328,43,1553,18000,109,376,750,1055,1551,17999,31,501,60, sesame
390,1433,1342,44,1562,17999,106,376,756,1061,1561,18000,31,503,60, sesame
430,1443,1346,44,1578,18000,115,385,768,1064,1579,18000,31,502,60, sesame
417,1443,1343,44,1581,18000,112,386,769,1066,1580,18000,31,503,60, sesame
419,1442,1346,44,1576,18000,112,383,765,1067,1576,18000,32,504,60, sesame
409,1433,1341,44,1568,18000,111,378,761,1064,1570,18000,31,502,60, sesame
393,1428,1336,44,1555,18000,106,371,756,1062,1557,18000,31,501,60, sesame
404,1437,1344,44,1566,17999,109,377,760,1061,1564,17999,31,504,60, sesame
396,1442,1348,43,1571,17999,106,377,763,1067,1570,17999,31,504,60, sesame
402,1435,1343,42,1562,18000,108,375,759,1066,1566,17999,31,504,60, sesame
394,1433,1342,43,1562,18000,107,375,758,1066,1565,18000,31,503,60, sesame
403,1442,1348,44,1574,18000,109,377,764,1068,1576,18000,32,503,60, sesame
416,1451,1354,44,1581,18000,111,382,767,1070,1579,17999,32,505,60, sesame
425,1454,1356,44,1591,18000,116,384,769,1072,1588,18000,32,507,60, sesame
416,1447,1353,44,1582,18000,112,382,769,1075,1585,18000,31,504,60, sesame
